Case,Date,Year,Type,Area,Location,Activity,Sex ,Age,Fatal,Time,Species 
2016.04.19,19/04/2016,2016,Unprovoked,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,N,12h00,Wobbegong shark
2016.03.30,30/03/2016,2016,Unprovoked,New South Wales,Bombo Beach,Surfing,M,22,N,19h00,unknown
2016.03.28.a,28/03/2016,2016,Unprovoked,New South Wales,North Cronulla Beach,Surfing,M,41,N,11h00,unknown
2016.03.03.R,3/03/2016,2016,Unprovoked,South Australia,Wrights Bay,Fishing,M,unknown,N,Midnight,Bronze whaler
2016.02.10,10/02/2016,2016,unknown,Tasmania,Nettley Bay,Surfing,M,unknown,N,12h30,No shark involvement
2016.02.05,5/02/2016,2016,Unprovoked,Queensland,Stradbroke Island,Walking,F,45,N,13h20,unknown
2016.02.04,4/02/2016,2016,Unprovoked,New South Wales,Hams Beach,Windsurfing,M,40,N,Late afternoon,unknown
2016.01.11.R,11/01/2016,2016,Unprovoked,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,unknown,N,unknown,Wobbegong shark
2016.01.05,5/01/2016,2016,Unprovoked,Queensland,Heron Island,Wading,M,11,N,Afternoon,Blacktip shark
2016.01.02,2/01/2016,2016,Unprovoked,Queensland,Miall Island,Spearfishing,M,31,N,11h30,3 m shark
2015.12.21.b,21/12/2015,2015,Unprovoked,New South Wales,Bondi Beach,Surfing,M,43,N,07h00,"Bronze whaler shark, 6'"
2015.12.13,13/12/2015,2015,Boat,New South Wales,Lake Macquarie,Fishing,unknown,unknown,N,10h30,"White shark, 3.5 m"
2015.11.10,10/11/2015,2015,Unprovoked,New South Wales,East Ballina,Surfing,M,20,N,18h15,"Bull shark, 2.8 to 3.1 m"
2015.10.30,30/10/2015,2015,Unprovoked,Western Australia,Bald Island,Spearfishing,M,50,N,unknown,unknown
2015.10.07,7/10/2015,2015,Unprovoked,Western Australia,Pyramids Beach,Surfing,M,18,N,16h50,unknown
2015.09.26,26/09/2015,2015,Unprovoked,Queensland,"Russel Island, Frankland Group",Snorkeling,F,7,N,Afternoon,unknown
2015.09.08,8/09/2015,2015,Unprovoked,New South Wales,North Shelly Beach,Surfing,M,42,N,06h15,6' shark
2015.09.04,4/09/2015,2015,Unprovoked,New South Wales,Hallidays Point,Surf-skiing,M,62,N,11h30,"White shark, 2.5 m"
2015.08.22.a,22/08/2015,2015,Unprovoked,New South Wales,Lighthouse Beach,Surfing,M,38,N,17h10,unknown
2015.07.31,31/07/2015,2015,Unprovoked,New South Wales,Evans Head,Surfing,M,52,N,06h00,White shark
2015.07.27,27/07/2015,2015,unknown,Victoria,Tyrendarra Beach,Surfing,M,40,unknown,unknown,unknown
2015.07.25,25/07/2015,2015,Unprovoked,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,46,Y,10h00,"White shark, 3.9 to 4.2 m"
2015.07.23.a,23/07/2015,2015,Unprovoked,Victoria,Tyrendarra Beach near Portland,Surfing,M,40,N,unknown,"Bronze whaler shark, 1.5m"
2015.07.03,3/07/2015,2015,Unprovoked,New South Wales,Lennox Head,Surfing,M,52,N,09h00,White shark
2015.07.02,2/07/2015,2015,Unprovoked,New South Wales,East Ballina,Body boarding ,M,32,N,09h00,White shark
2015.06.30.b,30/06/2015,2015,Unprovoked,New South Wales,"Flat Rock, Yamba",Surfing,M,unknown,N,unknown,unknown
2015.06.25.R,25/06/2015,2015,Provoked,Western Australia,Rottnest Island,Swimming,M,19,N,unknown,Wobbegong shark
2015.06.24.a,24/06/2015,2015,unknown,Western Australia,Denmark,Surfing,F,37,N,09h30,White shark
2015.05.03,3/05/2015,2015,Unprovoked,New South Wales,Saltwater Beach,Surfing,M,unknown,N,15h00,White shark
2015.04.25,25/04/2015,2015,Unprovoked,South Australia,Fishery Bay,Surfing,M,26,N,09h45,"White shark, 6 m"
2015.04.24.c,24/06/2015,2015,Unprovoked,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,71,N,11h00,"White shark, 3 m"
2015.04.11,11/04/2015,2015,Unprovoked,New South Wales,McKenzies Beach,Paddle boarding,M,unknown,N,07h30,unknown
2015.03.11,11/03/2015,2015,Boat,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,unknown,N,Morning,unknown
2015.02.09,9/02/2015,2015,Unprovoked,New South Wales,Shelly Beach,Surfing,M,41,Y,10h00,3.5 to 4 m shark
2015.02.08,8/02/2015,2015,Unprovoked,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,N,06h45,2 m to  3 m shark
2015.02.05,5/02/2015,2015,Unprovoked,New South Wales,Mereweather Beach,Bodysurfing,M,unknown,N,unknown,1.8 m shark
2015.01.30,30/01/2015,2015,Boat,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,57,N,05h00,"Bull shark, 1.3 m"
2015.01.24,24/01/2015,2015,Unprovoked,New South Wales,Flat Rock,Surfing,M,unknown,N,unknown,unknown
2015.01.19.a,19/01/2015,2015,unknown,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,unknown,N,unknown,Shark involvement not confirmed
2015.01.17,17/01/2015,2015,Boat,New South Wales,Off Blacksmith Beach,Fishing,M,unknown,N,13h45,5 m shark
2015.01.16,16/01/2015,2015,Unprovoked,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,N,unknown,1.5 m shark
2014.12.29.b,29/12/2014,2014,Unprovoked,New South Wales,Bherwerre Beach,Surfing,unknown,unknown,N,Morning,2 m shark
2014.12.29.a,29/12/2014,2014,Unprovoked,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,Y,Morning,"White shark, 4 to 5 m"
2014.12.28.a,28/12/2014,2014,Provoked,Victoria,Paradise Beach,Fishing,M,40,N,Morning,1.5 m shark
2014.12.15,15/12/2014,2014,Unprovoked,Queensland,Rudder Reef,Spearfishing,M,17,Y,11h30,Tiger shark
2014.11.29,29/11/2014,2014,Unprovoked,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,N,Sometime between 06h00 & 08hoo,unknown
2014.11.19,19/11/2014,2014,Boat,Western Australia,Freo,Fishing,M,unknown,N,unknown,White shark
2014.11.10,10/11/2014,2014,Unprovoked,New South Wales,Moonee Beach,Surfing,M,unknown,N,06h30,unknown
2014.10.30,29/10/2014,2014,Provoked,New South Wales,Wallabi Point,Surfing,M,20,N,18h00,unknown
2014.10.17,17/10/2014,2014,Unprovoked,New South Wales,Avoca Beach,Surfing,F,13,N,06h30,1 m shark
2014.10.11,11/10/2014,2014,Boat,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,M,unknown,N,17h20,unknown
2014.10.02.a,2/10/2014,2014,Unprovoked,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,N,11h00,"2 white shark: 13' & 9""8"""
2014.09.09,9/09/2014,2014,Unprovoked,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,Y,10h45,7' shark
2014.08.16,16/08/2014,2014,Unprovoked,Western Australia,Gnaraloo,Spearfishing,M,31,N,unknown,reef shark
2014.06.18.b,18/06/2014,2014,Unprovoked,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,unknown,N,17h01,unknown
2014.06.18.a,18/06/2014,2014,Unprovoked,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,15,N,17h00,unknown
2014.06.17.R,17/06/2014,2014,Provoked,Western Australia,Horizontal Falls,Petting a shark,M,unknown,N,unknown," Lemon shark, 3.5 m"
2014.06.09.a,9/06/2014,2014,Unprovoked,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,39,N,09h45,"Bronze whaler shark, 1.5m"
2014.06.01.b,1/06/2014,2014,Unprovoked,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,unknown,N,Morning,unknown
2014.05.27.R,24/05/2014,2014,Unprovoked,Queensland,Nerang River near Chevron Island,Fell into the water,F,29,N,unknown," Bull shark, 1.2m "
2014.05.22,22/05/2014,2014,Provoked,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,M,10,N,unknown," Tawney nurse shark, 1m"
2014.05.14,14/05/2014,2014,Unprovoked,South Australia,"Elliston, Eyre Peninsula",Surfing,M,35,N,09h30," white shark, 15' "
2014.04.24,24/04/2014,2014,Unprovoked,Western Australia,"South Passage, south of Coral Bay",Spearfishing,M,unknown,N,unknown,reef shark?
2014.04.03,3/04/2014,2014,Unprovoked,New South Wales,Tathra,Swimming,F,63,Y,08h20,3 m to 4 m white shark
2014.03.29,29/03/2014,2014,unknown,Western Australia,Off Dawesville Cut,Diving for lobsters,M,38,Y,13h30,unknown
2014.03.18.b,18/03/2014,2014,Unprovoked,Victoria,Winkipop Beach,Surfing,M,42,N,Morning,unknown
2014.03.18,18/03/2014,2014,unknown,New South Wales,Lennox Head,unknown,F,10,N,17h00,No shark involvement
2014.03.12,12/03/2014,2014,Unprovoked,New South Wales,Lighthouse Beach,Swimming,M,unknown,N,18h00,Wobbegong shark
2014.02.08,8/02/2014,2014,Unprovoked,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,M,28,Y,12h00,unknown
2014.01.26,26/01/2014,2014,Provoked,New South Wales,Umina Beach,Fishing,M,unknown,N,unknown,1m shark
2013.12.05,5/12/2013,2013,Unprovoked,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,26,N,18h15," Wobbegong shark, 1.6 to 1.8m "
2013.11.30,30/11/2013,2013,Unprovoked,New South Wales,"Riecks Point,  Campbell’s Beach, ",Body boarding,M,19,Y,14h00,"Tiger shark, 3m "
2013.11.23.a,23/11/2013,2013,Unprovoked,Western Australia,Gracetown,Surfing,M,35,Y,09h00,Thought to involve a white shark
2013.11.12,12/11/2013,2013,Unprovoked,Western Australia,"Trigg Beach, Perth",Surfing,M,unknown,N,15h00,Reported to involve a white shark
2013.10.28,28/10/2013,2013,Unprovoked,Western Australia,Turquoise Bay,Snorkeling,F,60,N,Afternoon,"Blacktip reef shark, 1m"
2013.10.26.a,26/10/2013,2013,Unprovoked,Western Australia,"Little Island, near Hillarys",Diving for crayfish,M,unknown,N,10h55,Reported to involve a 4 m white shark
2013.10.24,24/10/2013,2013,Unprovoked,New South Wales,South Narrabeen Beach,Surfing,M,41,N,18h15,Wobbegong shark
2013.10.08,8/10/2013,2013,Unprovoked,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,M,55,N,10h30,White shark
2013.08.25, 25-Aug-2013,2013,Unprovoked,New South Wales,Smiths,Wrangling a shark,M,unknown,N,15h00,unknown
2013.07.02,2/07/2013,2013,Unprovoked,Victoria,"Flinders, Mornington Penisula",Body surfing,M,29,N,unknown,unknown
2013.06.06.a,6/06/2013,2013,Unprovoked,New South Wales,Target Beach,Surfing,M,unknown,N,16h00,6' shark
2013.04.28,28/04/2013,2013,Provoked,New South Wales,Emerald Beach,Fishing,M,unknown,N,unknown,"Wobbegong, 2m"
2013.04.21,21/04/2013,2013,Unprovoked,New South Wales,Crowdy Head,Fishing,M,51,N,14h00,"Grey nurse shark, 3m"
2013.04.02.R,2/04/2013,2013,unknown,Western Australia,Perth,unknown,M,24,Y,unknown,shark involvement not confirmed
2013.03.31,31/03/2013,2013,unknown,New South Wales,Terrigal Beach,Surfing,M,47,N,unknown,No shark involvement
2013.03.10.b,10/03/2013,2013,Unprovoked,Western Australia,African Reef off Geraldton,Spearfishing,M,28,N,09h00,"Bronze whaler shark, 2.5m"
2013.01.26,26/01/2013,2013,Boat,Victoria,Cape Nelson,Fishing,M,unknown,N,unknown,"White shark, 5m"
2013.01.25,25/01/2013,2013,Unprovoked,Queensland,Noosa,Surfing,M,unknown,N,unknown,unknown
2013.01.21.R,21/01/2013,2013,unknown,Queensland,Bullcock Beach,Dragging stranded shark into deeper water,M,62,N,unknown,unknown
2013.01.05,5/01/2013,2013,Unprovoked,Western Australia,Near Legendre Island,Spearfishing / Free diving,M,26,N,10h00,unknown
2012.12.30,30/12/2012,2012,Unprovoked,New South Wales,Between Dee Why and Long Reef,Surfing,M,23,N,12h45,2.5 m shark
2012.12.28,28/12/2012,2012,Unprovoked,New South Wales,"Kylie's Beach, Diamond Head",Paddle boarding,M,29,N,10h45,"Bull shark, 2m "
2012.12.19,19/12/2012,2012,Unprovoked,Western Australia,Trigg Beach,Surfing,M,32,N,08h30,"Tiger shark, 6'"
2012.12.02,2/12/2012,2012,Unprovoked,New South Wales,Green Island,Spearfishing,M,31,N,16h45,Sandtiger shark
2012.11.27,27/11/2012,2012,unknown,Queensland,Mooloolaba,unknown,M,20,N,14h50,No shark involvement
2012.10.02,2/10/2012,2012,Unprovoked,Western Australia,"Mullaloo Beach, Perth",Bodyboarding,M,11,N,12h00,2m shark
2012.08.28,28/08/2012,2012,Unprovoked,Western Australia,Red Bluff near Quobba Station,Surfing,M,34,N,15h30,unknown
2012.08.11,11/08/2012,2012,Boat,Western Australia,Ocean Reef,Fishing,unknown,unknown,N,12h00,4.5 m shark
2012.07.31.a,31/07/2012,2012,Unprovoked,South Australia,Streaky Bay,Surfing,M,48,N,14h40,White shark or bronze whaler
2012.07.14,14/07/2012,2012,Unprovoked,Western Australia,Off Wedge Island,Surfing,M,24,Y,09h05,"White shark, 5m"
2012.07.07.b,7/07/2012,2012,unknown,Victoria,Ship's Graveyard off Point Lonsdale,Scuba diving,F,42,Y,15h00,unknown
2012.06.22.b,22/06/2012,2012,Unprovoked,Tasmania,South Cape Bay,Surfing,M,unknown,N,unknown,unknown
2012.06.20,20/06/2012,2012,Unprovoked,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,M,62,N,07h15,3 m shark
2012.06.12,12/06/2012,2012,Unprovoked,Victoria,Port Campbell,Surfing,M,42,N,Morning,1.5 m shark
2012.06.03,3/06/2012,2012,Unprovoked,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,M,30,N,14h30,"White shark, 2 m"
2012.04.11,11/04/2012,2012,Unprovoked,South Australia,"Dolphin Bay, Innes National Park",Kayaking,M,27,N,unknown,"White shark, 6m "
2012.03.31,31/03/2012,2012,Unprovoked,Western Australia,Stratham Beach,Scuba diving,M,33,Y,09h30,"White shark, 4m "
2012.03.22,22/03/2012,2012,Boat,Western Australia,Kalbarri,Crayfishing,unknown,unknown,N,05h50,White shark
2012.03.20,20/03/2012,2012,Unprovoked,Queensland,Nobby's Beach,Surfing,M,20,N,17h00,Possibly a bull shark
2012.03.06.a,6/03/2012,2012,Provoked,Victoria,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",F,34,N,11h30,"Tawny nurse shark, 40cm"
2012.02.25,25/02/2012,2012,Unprovoked,New South Wales,Broughton Island,Fishing,M,unknown,N,16h00,Grey nurse shark
2012.02.06,6/02/2012,2012,Unprovoked,Queensland,Wurtulla,Surfing,M,29,N,12h00,unknown
2012.01.19,19/01/2012,2012,Unprovoked,Western Australia,Coral Bay,Snorkeling,M,26,N,Afternoon,"Tiger shark, 3m"
2012.01.18.a,18/01/2012,2012,Unprovoked,New South Wales,Redhead Beach,Surfing,M,44,N,16h45,"White shark, 2.7 m"
2012.01.03,3/01/2012,2012,Unprovoked,New South Wales,North Avoca Beach,Surfing,M,28,N,20h00,2 m shark
2012.01.02,2/01/2012,2012,Unprovoked,Queensland,Duranbah,Spearfishing,M,34,N,09h00,Allegedly a 4 m tiger shark
2011.12.11,11/12/2011,2011,Unprovoked,New South Wales,Angourie,Surfing,M,51,N,05h45,"White shark, 2.5m"
2011.12.07.a,7/12/2011,2011,Unprovoked,New South Wales,Maroubra,Surfing,M,14,N,unknown,Wobbegong shark
2011.12.05,5/12/2011,2011,unknown,Queensland,Bushy Ilet,Spearfishing,unknown,unknown,Y,unknown,Shark involvement not confirmed
2011.12.02,2/12/2011,2011,Unprovoked,New South Wales,Broken Head,Surfing,M,63,N,06h00,unknown
2011.11.28,28/11/2011,2011,Unprovoked,Queensland,Peregian,Swimming,M,10,N,Afternoon,Wobbegong shark?
2011.10.22,22/10/2011,2011,Unprovoked,Western Australia,Rottnest Island,Diving,M,32,Y,13h25,"White shark, 10'"
2011.10.19,19/10/2011,2011,Unprovoked,Victoria,Elwood Beach,Diving,M,50,N,16h00,"Port Jackson shark, 1m"
2011.10.09,9/10/2011,2011,Unprovoked,Western Australia,Cottesloe Beach,Swimming,M,64,Y,08h10,unknown
2011.09.04.a,4/09/2011,2011,Unprovoked,Western Australia, Bunker Bay,Body boarding,M,21,Y,13h26,White shark
2011.08.28.b,28/08/2011,2011,unknown,Queensland,Fantome Island,Swimming,M,48,Y,19h30,Shark involvement prior to death not confirmed
2011.04.23,23/04/2011,2011,Unprovoked,Western Australia,Red Bluffs,Washing sand off a speared fish,M,17,N,15h00,"reef shark, 1.5m"
2011.03.23,23/03/2011,2011,Unprovoked,New South Wales,Crowdy Head,Surfing,M,48,N,17h45,"Bull shark, 2.5m"
2011.03.16,16/03/2011,2011,Unprovoked,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,F,24,N,13h00,3 m to 4 m shark
2011.03.10,10/03/2011,2011,Unprovoked,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,unknown,N,unknown,unknown
2011.02.28.R,28/02/2011,2011,Provoked,Queensland,Between ,Fishing,M,36,N,10h45,"Bull shark, 2m"
2011.02.17,17/02/2011,2011,Unprovoked,South Australia,Off Perforated Island near Coffin Bay,Diving for abalone,M,49,Y,18h20,White shark x 2
2011.02.13,13/02/2011,2011,Provoked,Queensland,Sunshine Beach,Fishing,M,unknown,N,10h40,1 m shark
2011.02.12,12/02/2011,2011,Unprovoked,Western Australia,Exmouth,Snorkeling,M,58,N,Late afternoon,unknown
2011.01.20,20/01/2011,2011,unknown,New South Wales,Cudgen Creek ,Swimming,F,7,N,17h00,Shark involvement not confirmed
2011.01.03,3/01/2011,2011,Boat,Western Australia,Busselton,Fishing,unknown,unknown,N,12h00,White shark
2010.11.27,27/11/2010,2010,unknown,Western Australia,Native Dog Beach,Swimming,M,unknown,Y,unknown,Shark involvement not confirmed
2010.11.12.R,12/11/2010,2010,Boat,Western Australia,Between Carnac and Garden Islands,Fishing,M,unknown,N,Night,White shark
2010.10.30,30/10/2010,2010,Unprovoked,Western Australia,Off Garden Island,Snorkeling,F,20,N,12h30,White shark
2010.10.28.R,28/10/2010,2010,Unprovoked,Western Australia,Cheynes Beach,Spearfishing,M,unknown,N,unknown,unknown
2010.10.23.a,23/10/2010,2010,Unprovoked,Western Australia,Wedge Island,Kite Surfing,M,14,N,unknown,unknown
2010.10.09,9/10/2010,2010,Unprovoked,New South Wales,Mullaway Headland,Surfing,M,22,N,13h30,"Bull shark, 1.4m "
2010.09.13,13/09/2010,2010,Unprovoked,New South Wales,Fraser's Reef,Surfing,M,15,N,17h00,2m shark
2010.08.17,17/08/2010,2010,Unprovoked,Western Australia,Cowaramup Bay,Surfing,M,31,Y,08h05,White shark
2010.08.10.b,10/08/2010,2010,Provoked,Queensland,"Three Mile Creek, Townsville",Fishing,F,unknown,N,19h00,unknown
2010.08.08,8/08/2010,2010,Unprovoked,New South Wales,Crescent Head,Surfing,M,47,N,08h00,unknown
2010.06.06,6/06/2010,2010,Unprovoked,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,40,N,12h00,unknown
2010.05.18.a,18/05/2010,2010,Unprovoked,New South Wales,Point Plomer,Surfing,M,unknown,N,16h30,unknown
2010.02.13,13/02/2010,2010,Unprovoked,Queensland,"Dent Island, Whitsundays",Snorkeling,F,60,N,13h30,2 m shark
2010.02.11,11/02/2010,2010,Unprovoked,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,46,N,08h00,"Wobbegong shark, 1.6m"
2010.02.06.b,6/02/2010,2010,Unprovoked,New South Wales,Turners' Beach,Body boarding,M,18,N,15h30,"White shark, 2.5m"
2010.01.27,27/01/2010,2010,Unprovoked,Queensland,Archie's Beach,Surfing,M,unknown,N,16h30,unknown
2010.01.22.a,22/01/2010,2010,Unprovoked,Victoria,Geelong,Surfing,M,unknown,N,07h30,unknown
2010.01.09.d,9/01/2010,2010,Unprovoked,Torres Strait,Thursday Island,Snorkeling,F,9,N,unknown,"Whitetip reef shark, 1m"
2009.12.26,26/12/2009,2009,Provoked,New South Wales,Avoca Beach,Swimming,M,55,N,11h00,unknown
2009.12.20.b,20/12/2009,2009,Boat,Queensland,Mudjimba Island,Kayaking,M,unknown,N,11h00,unknown
2009.12.20.a,20/12/2009,2009,Unprovoked,Queensland,Lamont Reef,Spearfishing,M,18,N,07h30,"Bull shark, 3m"
2009.12.13,13/12/2009,2009,Unprovoked,New South Wales,Coffee Head,Surfing,M,39,N,07h00,unknown
2009.12.12,12/12/2009,2009,Boat,New South Wales,Hawks Nest Beach,Rowing,unknown,unknown,N,07h30,White shark
2009.11.08,8/11/2009,2009,Unprovoked,South Australia,Second Valley,Kayaking,M,25,N,10h30,2 m shark
2009.10.30,30/10/2009,2009,Unprovoked,Victoria,Portland,Kayaking,M,27,N,Morning,"White shark, 4m"
2009.10.28,28/10/2009,2009,Unprovoked,New South Wales,Lennox Heads,Paddle-boarding,F,17,N,07h00,unknown
2009.10.14.R,14/10/2009,2009,Unprovoked,Western Australia,unknown,Diving,M,23,N,unknown,"Bull shark, 10'"
2009.07.30,30/07/2009,2009,Unprovoked,New South Wales,Broken Head,Surfing,M,14,N,06h15,unknown
2009.06.27,27/06/2009,2009,Unprovoked,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,52,N,08h45,"Thought to involve a Bronze whale shark, 2m"
2009.04.12,12/04/2009,2009,Unprovoked,New South Wales,Fingal Bay,Surf skiing ,M,40,N,08h00,2' to 3' shark
2009.03.20,20/03/2009,2009,Unprovoked,New South Wales,Blue Bay,Surfing,M,17,N,18h45,Bronze whaler shark?
2009.03.19.b,19/03/2009,2009,Unprovoked,New South Wales,South Broulee,Surfing,M,unknown,N,Early morning,unknown
2009.03.19.a,19/03/2009,2009,Unprovoked,New South Wales,Bateman's Bay,Surfing,F,unknown,N,07h45,unknown
2009.03.16.R,16/03/2009,2009,Provoked,Western Australia,"The Natural Jetty, Rottnest Island",Wading,M,21,N,unknown,"Wobbegong shark, 60cm"
2009.03.01.a,1/03/2009,2009,Unprovoked,New South Wales,Avalon,Surfing,M,15,N,06h45,2.6 m shark
2009.02.22,22/02/2009,2009,Unprovoked,Queensland,Batt Reef,Fishing,M,unknown,N,10h15,unknown
2009.02.18,18/02/2009,2009,Unprovoked,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,unknown,N,17h00,unknown
2009.02.12,12/02/2009,2009,Unprovoked,New South Wales,"Bondi Beach, Sydney",Surfing,M,33,N,19h30,"White shark, 2.5m "
2009.02.11,11/02/2009,2009,Unprovoked,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",M,31,N,Before 07h00,"Bull shark, 2.7 m "
2009.02.07.b,7/02/2009,2009,Unprovoked,New South Wales,Cellito Beach,Surfing,M,41,N,11h00,"White shark, 12' "
2009.02.07.a,7/02/2009,2009,Unprovoked,New South Wales,Sandon,Surfing,M,unknown,N,07h30,unknown
